User,User agent,Time range,Service,Application,Command,Status,Count,Usage (TSTUs),Delay (s)
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","WorkItem Tracking","WorkItemTypeCategories.GetWorkItemTypeCategories","Normal",1,0.014,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web Access","ApiCommon.GetDdsAvatar","Normal",2,0.014,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web-Api","ConnectedServiceAuthRequests.CreateAuthRequest","Normal",1,0.013,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web Access","ApiCommon.identityImage","Normal",2,0.013,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Favorites","Favorite.GetFavorites","Normal",2,0.013,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Graph Profile","GraphProfileMemberAvatars.GetMemberAvatar","Normal",1,0.013,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","Projects2.GetProject","Normal",3,0.013,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web-Api","ConnectedServiceAuthRequests.CreateAuthRequest","Normal",1,0.011,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","WebSessionToken.CreateSessionToken","Normal",3,0.010,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Contribution","ContributionNodeQuery.QueryContributionNodes","Normal",2,0.010,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","Teams2.GetTeams","Normal",2,0.008,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","DistributedTask","TaskAgentPools.GetAgentPools","Normal",2,0.008,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web-Api","SecurityRoleAssignments.GetRoleAssignments","Normal",1,0.007,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","DistributedTask","TaskAgentQueues.GetAgentQueues","Normal",1,0.007,0.000
